atom,orbital,Z,epsilon,npts,r_core_min,prob_rel_cut,alpha,fa_max_abs,fa_r_at_max,fa_tail_abs,fa_r_tail,fa_rms_P,fa_mean_P,fa_p99_abs,fa_Zeff_tail_err,cache_present,cache_max_abs,cache_r_at_max,cache_tail_abs,cache_r_tail,cache_rms_P,cache_mean_P,cache_p99_abs,cache_Zeff_tail_err
H,1s,1,-0.5,145,0.5,1e-06,0.6666666666666666,0.47953617046331165,0.5068710244526289,0.0008652122777328963,10.06847579778219,0.2844724610433286,0.2613824189537742,0.47464147563182013,9.141576384763539e-12,1,5.1808969865341226e-05,0.5068710244526289,4.796640762805282e-05,10.06847579778219,2.3690090746669763e-05,1.0824732566028863e-05,4.890960786042342e-05,0.0
He,1s,2,-0.9179556,127,0.5,1e-06,0.6666666666666666,0.6324963181508625,0.5068710244526289,1.9050686752675183e-05,6.929556614622749,0.3946601238391853,0.3640256559714108,0.6225185650593043,7.186382019908066e-05,1,0.0011631284427837674,6.929556614622749,0.0011631284427837674,6.929556614622749,0.00015601511583513303,4.206707016849173e-05,0.0008840424997209929,0.0
Li,1s,3,-2.4777413,104,0.5,1e-06,0.6666666666666666,0.454659510481473,4.299078931150038,0.454659510481473,4.299078931150038,0.16950285683449715,0.15574068789389187,0.38452055624517906,0.00014354030968499742,1,0.4489782521169081,4.299078931150038,0.4489782521169081,4.299078931150038,0.10408062494665836,0.09511742398119277,0.3782493460690186,0.0
Li,2s,3,-0.1963228,175,0.5,1e-06,0.6666666666666666,32.58165524357115,0.8341455606229362,0.0008656679904041342,18.766971841929244,0.1849147963351634,0.15582666646121657,5.053243654569471,0.00014354030968499742,1,32.02533473100365,0.8341455606229362,0.0004227205033819903,18.766971841929244,0.04859853044129077,0.017502689049149856,4.7993673577829,0.0
Be,1s,4,-4.7326699,86,0.5,1e-06,0.6666666666666666,0.1564173970251561,2.036380138391496,0.142840644673206,2.9588103941907598,0.023605460986116593,0.010023745311229097,0.15633288452774258,0.00021523141423784864,1,0.2434161767923455,1.3445342548355126,0.15536992600311184,2.9588103941907598,0.13776353591233778,0.12105525525353673,0.24336182180643462,0.0
Be,2s,4,-0.3092695,161,0.5,1e-06,0.6666666666666666,29.729833229072483,0.5861353420453874,0.002724356477475126,14.034382715043305,0.24866439857416703,0.2122269923096432,7.419245123182934,0.00021523141423784864,1,30.3108743182865,0.5861353420453874,0.0021655971680793473,14.034382715043305,0.07559377862801789,0.030835045938935348,7.549234120862063,0.0
B,1s,5,-7.6953347,75,0.5,1e-06,0.6666666666666666,1.188731159491467,2.3548285685485775,1.188731159491467,2.3548285685485775,0.07353865071668711,-0.04270432054661988,1.0823018697891476,0.0002869152339179948,1,1.1705355858786097,2.3548285685485775,1.1705355858786097,2.3548285685485775,0.3435974238484291,0.3427796639090954,1.0628407378765894,0.0
B,2s,5,-0.4947058,148,0.5,1e-06,0.6666666666666666,2.3332838765935535,0.5068710244526289,0.01868749393194985,10.715360276336359,0.30765033714400575,0.2671906636109549,1.8994502776755333,0.0002869152339179948,1,1.8211567073498744,0.5068710244526289,0.01871411890535546,10.715360276336359,0.17896403520278284,0.16143355223855121,1.40611005188766,0.0
B,2p,5,-0.3098564,159,0.5,1e-06,0.6666666666666666,0.9298834217212795,0.5068710244526289,0.0011273581655488474,13.463705930264092,0.2685510393074046,0.21788244016709596,0.8976377106917294,0.0002869152339179948,1,0.37539057006819565,0.5068710244526289,0.0006838135970151094,13.463705930264092,0.1161670275604062,0.10037798351048874,0.36228236831527455,0.0
C,1s,6,-11.3255187,67,0.5,1e-06,0.6666666666666666,3.306661012649812,1.9945480512017881,3.306661012649812,1.9945480512017881,0.07204429419014476,-0.011599331021267633,3.107011264914234,0.0003594540274542979,1,3.2859985915910492,1.9945480512017881,3.2859985915910492,1.9945480512017881,0.5006605614888219,0.49608987034677005,3.085039548345592,0.0
